Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,AveragePrice,RangePerPrice,EnergyEfficiency,SpeedCategory,RangeCategory,PriceCategory,Drive_encoded,SpeedCategory_encoded,RangeCategory_encoded,PriceCategory_encoded
Lucid Air Dream Edition P,118 kWh useable battery          Available since January 2022,2.7,270.0,645.0,183.0,820.0,All Wheel Drive,5,218000.0,0.0,109000.0,0.005917376904799039,3.505434782608696,Very Fast,Very Long,Premium,0,3,3,3
Porsche Taycan Turbo S,83.7 kWh useable battery          Available since January 2020,2.8,260.0,400.0,209.0,980.0,All Wheel Drive,4,189668.0,142400.0,166034.0,0.002409130604992923,1.9047619047619047,Very Fast,Medium,Luxury,0,3,1,1
Audi e-tron GT RS,85 kWh useable battery          Available since March 2021,3.3,250.0,405.0,210.0,1000.0,All Wheel Drive,4,146050.0,115000.0,130525.0,0.003102830087492147,1.919431279620853,Fast,Long,Premium,0,0,0,3
Renault Zoe ZE50 R110,52 kWh useable battery          Available since November 2019,11.4,135.0,315.0,165.0,230.0,Front Wheel Drive,5,36840.0,0.0,18420.0,0.01710004885728245,1.8975903614457832,Slow,Medium,Budget,1,2,1,0
Audi Q4 e-tron 35,52 kWh useable battery          Available since June 2021,9.0,160.0,285.0,182.0,360.0,Rear Wheel Drive,5,0.0,0.0,0.0,285.0,1.5573770491803278,Medium,Short,,2,1,2,4
Tesla Model Y Performance,75 kWh useable battery          Available since March 2022,3.7,250.0,415.0,181.0,640.0,All Wheel Drive,5,63667.0,59990.0,61828.5,0.006712006404709726,2.28021978021978,Fast,Long,Mid-range,0,0,0,2
Porsche Taycan 4 Cross Turismo,83.7 kWh useable battery          Available since July 2021,5.1,220.0,425.0,197.0,1050.0,All Wheel Drive,4,98514.0,84500.0,91507.0,0.004644402675175941,2.1464646464646466,Fast,Long,Mid-range,0,0,0,2
Renault Zoe ZE50 R135,52 kWh useable battery          Available since November 2019,9.5,140.0,310.0,168.0,230.0,Front Wheel Drive,5,37840.0,29995.0,33917.5,0.009139555110043192,1.834319526627219,Slow,Medium,Budget,1,2,1,0
Porsche Taycan Turbo,83.7 kWh useable battery          Available since January 2020,3.2,260.0,415.0,202.0,1020.0,All Wheel Drive,4,156348.0,119900.0,138124.0,0.003004524886877828,2.044334975369458,Very Fast,Long,Premium,0,3,0,3
Smart EQ fortwo coupe,16.7 kWh useable battery          Available since January 2020,11.6,130.0,100.0,167.0,0.0,Rear Wheel Drive,2,21940.0,0.0,10970.0,0.009114939385653085,0.5952380952380952,Slow,Short,Budget,2,2,2,0
Smart EQ fortwo cabrio,16.7 kWh useable battery          Available since January 2020,11.9,130.0,95.0,176.0,0.0,Rear Wheel Drive,2,25200.0,0.0,12600.0,0.0075390841996666935,0.536723163841808,Slow,Short,Budget,2,2,2,0
Honda e Advance,28.5 kWh useable battery          Available since August 2020,8.3,145.0,170.0,168.0,180.0,Rear Wheel Drive,4,39900.0,36920.0,38410.0,0.004425815521595377,1.0059171597633136,Slow,Short,Budget,2,2,2,0
